cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:M1	ATTRIBUTE_condition:GNPSGROUP:PA14	ATTRIBUTE_condition:GNPSGROUP:QC	ATTRIBUTE_condition:GNPSGROUP:media
22	269.160539897371	0.29009056	20315758.666666668	183051173.33333334	96548283.33333333	587860686.0
20	260.19673799870486	0.29149798	10443879.666666666	44842225.666666664	31415082.333333332	186348568.0
31	247.12862908053788	0.2963268	6958061.166666667	75409447.66666667	27477780.0	106122612.0
32	162.0501094547666	0.30393255	0.0	9081593.0	0.0	5173663.4
23	274.1869727542943	0.31156906	0.0	25916963.666666668	41082347.333333336	273170640.0
34	338.14319208602143	0.3120601	122617167.0	8601806.166666666	83567932.33333333	0.0
35	354.1170456017642	0.31255445	31828885.333333332	0.0	23443421.666666668	0.0
36	316.1613404668096	0.31312546	45609235.333333336	0.0	40789301.0	0.0
37	202.1548447391129	0.31426403	38391212.333333336	0.0	20033679.666666668	0.0
33	361.2193972641445	0.31478083	10258291.166666666	0.0	0.0	0.0
29	269.11133300339765	0.317835	0.0	20466498.0	3061376.8333333335	18953764.8
38	286.1507502708131	0.31856441	27843149.666666668	41865530.666666664	27445457.0	57117440.0
39	265.1217751411842	0.3188666	0.0	28243422.833333332	0.0	36848587.2
42	371.2397733371222	0.3254602	0.0	0.0	0.0	88261935.2
41	186.1235141348752	0.32730666	0.0	0.0	6768884.833333333	183253036.0
44	144.60505904938262	0.32818016	0.0	0.0	0.0	59555096.0
45	288.2025569356466	0.3311944	0.0	0.0	9948751.166666666	919694432.0
40	152.03164003144445	0.33444905	0.0	32102478.333333332	10161176.333333334	50490003.2
46	130.04988378364413	0.33677313	0.0	142205805.0	62078665.0	200996372.0
48	133.03179150588656	0.34282458	20927152.333333332	98998602.33333333	53676300.666666664	127970414.0
49	150.05832274098822	0.34282458	123961910.0	614515478.3333334	315564833.3333333	828167178.0
51	310.17571690537864	0.3502007	1417194.6666666667	62544094.333333336	14988437.916666666	211734136.0
53	251.1052199469842	0.3513805	0.0	0.0	0.0	43363887.6
56	187.131417832884	0.35546294	0.0	0.0	0.0	57687537.6
54	373.25573047837486	0.35789585	0.0	7513390.166666667	1415116.6666666667	101394830.0
59	279.10075961130894	0.36178815	0.0	12844413.5	0.0	17372335.8
57	217.11809788216485	0.3678464	0.0	20160604.166666668	9414172.166666666	26371326.8
55	227.0999370161286	0.37154227	0.0	0.0	4838964.75	34211888.8
61	158.09236515823866	0.37472588	12633775.833333334	15574959.833333334	12762421.833333334	17237020.0
60	269.1605171328809	0.37876925	18469874.333333332	216326065.0	83557080.0	585203162.0
58	338.1818235963412	0.37970346	4832005.75	7873170.166666667	17329678.166666668	289391556.0
64	205.1180044580365	0.38814622	0.0	0.0	17149033.333333332	103202064.0
62	357.24914186932074	0.38971153	0.0	21656992.666666668	5728299.166666667	75069066.4
63	179.12832100308384	0.39193925	0.0	48653110.333333336	18514808.166666668	220016214.0
65	294.1808815049173	0.39421293	0.0	36777039.333333336	10743485.166666666	176212920.0
67	235.11874357255132	0.3958464	239128205.0	207102313.33333334	190204148.33333334	200410306.0
66	347.2285613057342	0.3976735	0.0	23349149.666666668	0.0	43902283.2
71	183.08435052471708	0.40175626	1563701.5	79454694.0	32622239.666666668	75627234.0
73	136.0755841738114	0.40274137	0.0	54390431.666666664	23626710.0	52994553.2
75	182.0811182113013	0.40412655	67306324.0	795390340.0	311546488.3333333	770094226.0
76	204.0629547119416	0.4043769	2446688.25	34583867.0	25064516.333333332	16117821.0
70	282.17840517860594	0.4046463	0.0	24886345.0	10750628.833333334	37973075.2
74	165.05456262008005	0.40502	10069431.666666666	122396128.33333333	46455646.666666664	117422783.2
68	261.20011541023456	0.4052716	0.0	87548737.66666667	20470852.0	223494158.0
50	189.1231012625284	0.41190875	0.0	0.0	20799476.0	147892820.0
78	219.13369766115804	0.41503283	0.0	37149818.0	45785354.0	628395512.0
80	366.2130561091483	0.41881567	0.0	42898662.0	15332083.833333334	107397518.0
81	183.6102603812942	0.42001933	0.0	70022426.33333333	20987021.166666668	159282300.0
94	247.1285929118652	0.42316854	7206121.75	36026955.0	14073782.5	78655100.0
79	389.2388112024788	0.42430547	0.0	34019445.0	4275129.5	55895643.2
95	311.12333914808937	0.42454007	11721281.5	31757658.333333332	15121959.666666666	22558258.8
82	348.17625508031745	0.42574486	7869092.666666667	15626823.166666666	4811367.583333333	13652211.6
86	193.13137529379483	0.42760333	0.0	0.0	0.0	53385835.2
85	322.1869644953013	0.42760333	0.0	0.0	0.0	219072406.0
88	331.2334441287924	0.42760333	0.0	0.0	0.0	38229283.2
84	388.1508746591654	0.42899448	1278305.5	53244669.333333336	16480218.333333334	57735073.6
113	260.1966719022861	0.43097442	45482677.666666664	627019386.6666666	146590782.66666666	1544530020.0
83	366.1691044473575	0.43142492	7360661.416666667	79945222.0	22620497.666666668	110924382.8
89	385.25531620449135	0.4316833	0.0	0.0	0.0	29038395.6
