row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak area,171103_PMA_TK_M1_02.mzML Peak area,171103_PMA_TK_M1_03.mzML Peak area,171103_PMA_TK_M1_04.mzML Peak area,171103_PMA_TK_M1_05.mzML Peak area,171103_PMA_TK_M1_06.mzML Peak area,171103_PMA_TK_PA14_01.mzML Peak area,171103_PMA_TK_PA14_02.mzML Peak area,171103_PMA_TK_PA14_03.mzML Peak area,171103_PMA_TK_PA14_04.mzML Peak area,171103_PMA_TK_PA14_05.mzML Peak area,171103_PMA_TK_PA14_06.mzML Peak area,171103_PMA_TK_QC_03.mzML Peak area,171103_PMA_TK_QC_04.mzML Peak area,171103_PMA_TK_QC_05.mzML Peak area,171103_PMA_TK_QC_06.mzML Peak area,171103_PMA_TK_QC_07.mzML Peak area,171103_PMA_TK_QC_08.mzML Peak area,171103_PMA_TK_media_02.mzML Peak area,171103_PMA_TK_media_03.mzML Peak area,171103_PMA_TK_media_04.mzML Peak area,171103_PMA_TK_media_05.mzML Peak area,171103_PMA_TK_media_06.mzML Peak area,Unnamed: 36
66,347.2285613057342,0.3976735,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,25567374.0,28381856.0,18995210.0,21079618.0,27189206.0,18881634.0,0.0,0.0,0.0,0.0,0.0,0.0,42151476.0,42763510.0,47466430.0,42795790.0,44334210.0,
71,183.08435052471708,0.40175626,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9382209.0,84397700.0,84800890.0,72603180.0,76366260.0,82708910.0,75851224.0,26214916.0,33502212.0,34947610.0,30533960.0,34401136.0,36133604.0,73402750.0,76181870.0,83891530.0,75970960.0,68689060.0,
73,136.0755841738114,0.40274137,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,61621316.0,58947436.0,46918580.0,52562316.0,55900170.0,50392772.0,19934078.0,23482940.0,25078204.0,22047818.0,25583028.0,25634192.0,51145012.0,53012012.0,60362184.0,52888810.0,47564748.0,
75,182.0811182113013,0.40412655,height,,,,,,,,,,,77791200.0,60753996.0,55977692.0,64543750.0,58861456.0,85909850.0,865700400.0,856338560.0,685640640.0,775543300.0,844282240.0,744836900.0,254173820.0,305838820.0,335256540.0,303475600.0,323807330.0,346726820.0,764746430.0,783788600.0,837653400.0,762464200.0,701818500.0,
76,204.06295471194156,0.4043769,height,,,,,,,,,,,0.0,0.0,6406818.5,0.0,0.0,8273311.0,35320710.0,27214392.0,32135392.0,40576744.0,34704708.0,37551256.0,25318926.0,26270386.0,26168382.0,24055512.0,24237182.0,24336710.0,15314731.0,17085924.0,18728408.0,17592176.0,11867866.0,
70,282.17840517860594,0.4046463,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27790052.0,23091980.0,20216020.0,24876964.0,28340948.0,25002106.0,16675759.0,16446281.0,13408267.0,10552833.0,7420633.0,0.0,38394100.0,39025068.0,41714316.0,35511400.0,35220492.0,
74,165.05456262008005,0.40502,height,,,,,,,,,,,11856010.0,8492583.0,9248302.0,8570704.0,8988835.0,13260156.0,137840240.0,131227510.0,105639760.0,117956100.0,129749920.0,111963240.0,39749144.0,47026576.0,50300436.0,44765308.0,48151524.0,48740892.0,112189040.0,122085990.0,130449140.0,114640650.0,107749096.0,
68,261.20011541023456,0.4052716,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,96902830.0,107054220.0,68130810.0,78248010.0,100594980.0,74361576.0,29869248.0,29312438.0,23885518.0,17088966.0,13047207.0,9621735.0,238051180.0,192778030.0,251984270.0,215615090.0,219042220.0,
50,189.1231012625284,0.41190875,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27351070.0,28754270.0,24789658.0,12160111.0,12162027.0,19579720.0,131062690.0,164740110.0,161946200.0,150501400.0,131213700.0,
78,219.13369766115804,0.41503283,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36791660.0,45776748.0,31874054.0,34382716.0,39351600.0,34722130.0,57780524.0,53302536.0,46273576.0,39507400.0,43127188.0,34720900.0,602088200.0,593429200.0,663258800.0,677824400.0,605376960.0,
80,366.2130561091483,0.41881567,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,46972930.0,50015788.0,31951704.0,37883630.0,47741868.0,42826052.0,18853988.0,19036720.0,17080908.0,13179270.0,13631771.0,10209846.0,107501120.0,103874190.0,114812550.0,108491670.0,102308060.0,
